Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
C2H6,Rettich 1981,298.16,25.01,50744,0.51,3.397800e-05,,-0.218902,True,,False
C3H8,Kobayashi1953,278.87,5.72,567000,5.67,3.660000e-04,1.400000e-03,-0.260461,True,0.393554,True
C3H8,Kobayashi1953,285.37,12.22,4254000,42.54,2.963000e-04,,-0.241253,True,,False
C3H8,Kobayashi1953,285.37,12.22,8426000,84.26,2.906000e-04,,-0.239704,True,,False
C3H8,Kobayashi1953,285.37,12.22,13707000,137.07,2.948000e-04,,-0.239273,True,,False
C3H8,Kobayashi1953,288.71,15.56,748000,7.48,2.640000e-04,2.180000e-03,-0.231795,True,0.330625,True
C3H8,Kobayashi1953,299.82,26.67,1007000,10.07,2.190000e-04,3.350000e-03,-0.204487,True,0.320361,True
C3H8,Kobayashi1953,310.93,37.78,496000,4.96,8.630000e-05,,-0.179655,True,,False
C3H8,Kobayashi1953,310.93,37.78,807000,8.07,7.960000e-05,,-0.158310,True,,False
C3H8,Kobayashi1953,310.93,37.78,903000,9.03,1.552000e-04,,-0.182125,True,,False
C3H8,Kobayashi1953,310.93,37.78,1320000,13.20,2.030000e-04,4.660000e-03,-0.180749,True,0.432666,True
C3H8,Kobayashi1953,310.93,37.78,2951000,29.51,2.046000e-04,,-0.180861,True,,False
C3H8,Kobayashi1953,310.93,37.78,4288000,42.88,2.178000e-04,,-0.183005,True,,False
C3H8,Kobayashi1953,310.93,37.78,10556000,105.56,2.151000e-04,,-0.180720,True,,False
C3H8,Kobayashi1953,310.93,37.78,13872000,138.72,2.239000e-04,,-0.181595,True,,False
C3H8,Kobayashi1953,310.93,37.78,18525000,185.25,2.304000e-04,,-0.181811,True,,False
C3H8,Kobayashi1953,322.04,48.89,1696000,16.96,1.990000e-04,6.250000e-03,-0.158733,True,0.500165,True
C3H8,Kobayashi1953,329.26,56.11,1296000,12.96,1.499000e-04,,-0.145792,True,,False
C3H8,Kobayashi1953,329.26,56.11,8267000,82.67,2.249000e-04,,-0.147799,True,,False
C3H8,Kobayashi1953,329.26,56.11,12480000,124.80,2.267000e-04,,-0.146796,True,,False
C3H8,Kobayashi1953,329.26,56.11,19214000,192.14,2.364000e-04,,-0.146942,True,,False
C3H8,Kobayashi1953,333.15,60.00,2144000,21.44,2.020000e-04,8.130000e-03,-0.137737,True,0.532898,True
C3H8,Kobayashi1953,344.26,71.11,2682000,26.82,2.120000e-04,1.002000e-02,-0.117777,True,0.563620,True
C3H8,Kobayashi1953,349.82,76.67,2978000,29.78,2.230000e-04,1.097000e-02,-0.109055,True,0.575932,True
C3H8,Kobayashi1953,355.37,82.22,3330000,33.30,2.360000e-04,1.191000e-02,-0.100403,True,0.564784,True
C3H8,Kobayashi1953,360.93,87.78,1544000,15.44,1.330000e-04,,-0.088652,True,,False
C3H8,Kobayashi1953,360.93,87.78,2475000,24.75,1.960000e-04,,-0.090654,True,,False
C3H8,Kobayashi1953,360.93,87.78,3709000,37.09,2.500000e-04,1.280000e-02,-0.091850,True,0.547522,True
C3H8,Kobayashi1953,360.93,87.78,6826000,68.26,2.580000e-04,,-0.091062,True,,False
C3H8,Kobayashi1953,360.93,87.78,10498000,104.98,2.703000e-04,,-0.091335,True,,False
C3H8,Kobayashi1953,360.93,87.78,13876000,138.76,2.745000e-04,,-0.090565,True,,False
C3H8,Kobayashi1953,360.93,87.78,19214000,192.14,2.880000e-04,,-0.091121,True,,False
C3H8,Kobayashi1953,363.71,90.56,3924000,39.24,2.560000e-04,1.278000e-02,-0.087589,True,0.545155,True
C3H8,Kobayashi1953,366.48,93.33,4151000,41.51,2.640000e-04,1.237000e-02,-0.083398,True,0.417250,True
C3H8,Kobayashi1953,369.65,96.50,1586000,15.86,1.261000e-04,,-0.070867,True,,False
C3H8,Kobayashi1953,369.65,96.50,2758000,27.58,2.162000e-04,,-0.078107,True,,False
C3H8,Kobayashi1953,369.65,96.50,3296000,32.96,2.449000e-04,,-0.079053,True,,False
C3H8,Kobayashi1953,369.65,96.50,4392000,43.92,2.720000e-04,9.980000e-03,-0.078321,True,0.555270,True
C3H8,Kobayashi1953,369.65,96.50,6274000,62.74,2.842000e-04,,-0.078539,True,,False
C3H8,Kobayashi1953,369.65,96.50,12480000,124.80,3.008000e-04,,-0.077440,True,,False
C3H8,Kobayashi1953,369.65,96.50,19214000,192.14,3.134000e-04,,-0.076776,True,,False
C3H8,Kobayashi1953,383.15,110.00,1531000,15.31,1.301000e-04,,-0.052115,True,,False
C3H8,Kobayashi1953,383.15,110.00,3475000,34.75,2.633000e-04,,-0.058178,True,,False
C3H8,Kobayashi1953,383.15,110.00,5585000,55.85,3.243000e-04,,-0.058900,True,,False
C3H8,Kobayashi1953,383.15,110.00,7777000,77.77,3.414000e-04,,-0.058882,True,,False
C3H8,Kobayashi1953,383.15,110.00,12480000,124.80,3.542000e-04,,-0.057200,True,,False
C3H8,Kobayashi1953,383.15,110.00,19214000,192.14,3.765000e-04,,-0.057275,True,,False
C3H8,Kobayashi1953,399.82,126.67,2289000,22.89,1.964000e-04,,-0.028013,True,,False
