Source,Gas,T_K,P_bar,Sal_m,y_H2O,x_Gas,Notes
# Table 1: N2-H2O system
Gillespie1980,N2,310.93,3.45,0,0.0202,0.0000359,100F 50psia
Gillespie1980,N2,310.93,13.79,0,0.00502,0.000136,100F 200psia
Gillespie1980,N2,310.93,31.03,0,0.00236,0.000300,100F 450psia
Gillespie1980,N2,310.93,65.50,0,0.00122,0.000601,100F 950psia
Gillespie1980,N2,310.93,103.42,0,0.00085,0.000903,100F 1500psia INTERP y_H2O
Gillespie1980,N2,310.93,137.90,0,0.000690,0.001160,100F 2000psia
Gillespie1980,N2,366.48,3.45,0,0.233,0.000023,200F 50psia
Gillespie1980,N2,366.48,13.79,0,0.0605,0.000107,200F 200psia
Gillespie1980,N2,366.48,31.03,0,0.0277,0.000248,200F 450psia
Gillespie1980,N2,366.48,65.50,0,0.0137,0.000509,200F 950psia
Gillespie1980,N2,366.48,137.90,0,0.00747,0.001011,200F 2000psia
Gillespie1980,N2,422.04,65.50,0,0.0786,0.000645,300F 950psia
Gillespie1980,N2,477.59,31.03,0,0.5734,0.000263,400F 450psia
Gillespie1980,N2,477.59,65.50,0,0.2945,0.000882,400F 950psia
Gillespie1980,N2,477.59,103.42,0,0.1975,0.001518,400F 1500psia
Gillespie1980,N2,588.71,137.90,0,0.8555,0.002935,600F 2000psia
# Table 2: H2-H2O system
Gillespie1980,H2,310.93,3.45,0,0.01962,0.0000449,100F 50psia
Gillespie1980,H2,310.93,13.79,0,0.00488,0.000181,100F 200psia
Gillespie1980,H2,310.93,31.03,0,0.00222,0.000410,100F 450psia
Gillespie1980,H2,310.93,65.50,0,0.00116,0.000862,100F 950psia
Gillespie1980,H2,310.93,103.42,0,0.00076,0.001330,100F 1500psia INTERP y_H2O
Gillespie1980,H2,310.93,137.90,0,0.00060,0.001758,100F 2000psia
Gillespie1980,H2,366.48,3.45,0,0.2469,0.0000374,200F 50psia
Gillespie1980,H2,366.48,13.79,0,0.0586,0.000180,200F 200psia
Gillespie1980,H2,366.48,31.03,0,0.0264,0.000426,200F 450psia
Gillespie1980,H2,366.48,65.50,0,0.0132,0.000893,200F 950psia
Gillespie1980,H2,366.48,137.90,0,0.00668,0.001843,200F 2000psia
Gillespie1980,H2,422.04,31.03,0,0.1566,0.000500,300F 450psia INTERP x_H2
Gillespie1980,H2,422.04,65.50,0,0.0753,0.001158,300F 950psia
Gillespie1980,H2,422.04,103.42,0,0.0513,0.001876,300F 1500psia INTERP x_H2
Gillespie1980,H2,477.59,31.03,0,0.5549,0.000429,400F 450psia
Gillespie1980,H2,477.59,65.50,0,0.2848,0.001463,400F 950psia
Gillespie1980,H2,477.59,103.42,0,0.1878,0.002570,400F 1500psia
Gillespie1980,H2,588.71,137.90,0,0.8096,0.00298,600F 2000psia
# Table 5: H2S-H2O system
Gillespie1980,H2S,310.93,3.45,0,0.02019,0.00437,100F 50psia
Gillespie1980,H2S,310.93,8.27,0,0.00904,0.0106,100F 120psia
Gillespie1980,H2S,310.93,13.79,0,0.00592,0.0175,100F 200psia
Gillespie1980,H2S,310.93,19.31,0,0.00451,0.0228,100F 280psia
Gillespie1980,H2S,310.93,24.82,0,0.00375,0.0305,100F 360psia
Gillespie1980,H2S,366.48,8.27,0,0.1035,0.00483,200F 120psia
Gillespie1980,H2S,366.48,20.68,0,0.04395,0.0146,200F 300psia
Gillespie1980,H2S,366.48,41.37,0,0.02442,0.0252,200F 600psia
Gillespie1980,H2S,366.48,57.92,0,0.02149,0.0335,200F 840psia
Gillespie1980,H2S,366.48,74.47,0,0.02070,0.0410,200F 1080psia
Gillespie1980,H2S,422.04,31.03,0,0.1745,0.0130,300F 450psia
Gillespie1980,H2S,422.04,103.42,0,0.0812,0.043,300F 1500psia INTERP x_H2S
Gillespie1980,H2S,477.59,31.03,0,0.6074,0.00638,400F 450psia
Gillespie1980,H2S,477.59,65.50,0,0.3257,0.0206,400F 950psia
Gillespie1980,H2S,477.59,103.42,0,0.2412,0.0282,400F 1500psia
Gillespie1980,H2S,533.15,103.42,0,0.5634,0.019,500F 1500psia INTERP x_H2S
Gillespie1980,H2S,588.71,137.90,0,0.8519,0.0101,600F 2000psia
