Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
CH4,Olds 1942,377.59,104.44,48260000,482.60,,5.336000e-03,,False,0.516287,True
CH4,Olds 1942,377.59,104.44,54724000,547.24,,5.238000e-03,,False,0.500667,True
CH4,Olds 1942,377.59,104.44,55879000,558.79,,4.943000e-03,,False,0.517262,True
CH4,Olds 1942,377.59,104.44,62253000,622.53,,4.882000e-03,,False,0.503760,True
CH4,Olds 1942,377.59,104.44,62330000,623.30,,4.620000e-03,,False,0.521680,True
CH4,Olds 1942,377.59,104.44,68387000,683.87,,4.722000e-03,,False,0.500287,True
CH4,Olds 1942,410.93,137.78,3406000,34.06,,1.108300e-01,,False,-0.210480,True
CH4,Olds 1942,410.93,137.78,6546000,65.46,,5.899000e-02,,False,0.350564,True
CH4,Olds 1942,410.93,137.78,9870000,98.70,,4.145000e-02,,False,0.440023,True
CH4,Olds 1942,410.93,137.78,14066000,140.66,,3.152000e-02,,False,0.461037,True
CH4,Olds 1942,410.93,137.78,28161000,281.61,,1.898000e-02,,False,0.502807,True
CH4,Olds 1942,410.93,137.78,35586000,355.86,,1.671000e-02,,False,0.495438,True
CH4,Olds 1942,410.93,137.78,42106000,421.06,,1.545000e-02,,False,0.487445,True
CH4,Olds 1942,410.93,137.78,48334000,483.34,,1.437000e-02,,False,0.487049,True
CH4,Olds 1942,410.93,137.78,55459000,554.59,,1.345000e-02,,False,0.484982,True
CH4,Olds 1942,410.93,137.78,62204000,622.04,,1.253000e-02,,False,0.490226,True
CH4,Olds 1942,410.93,137.78,68860000,688.60,,1.206000e-02,,False,0.485386,True
CH4,Olds 1942,444.26,171.11,3442000,34.42,,2.533400e-01,,False,-0.219819,True
CH4,Olds 1942,444.26,171.11,8331000,83.31,,1.093500e-01,,False,0.271317,True
CH4,Olds 1942,444.26,171.11,14237000,142.37,,7.106000e-02,,False,0.416540,True
CH4,Olds 1942,444.26,171.11,21180000,211.80,,5.362000e-02,,False,0.441762,True
CH4,Olds 1942,444.26,171.11,28159000,281.59,,4.384000e-02,,False,0.464381,True
CH4,Olds 1942,444.26,171.11,34577000,345.77,,3.835000e-02,,False,0.472594,True
CH4,Olds 1942,444.26,171.11,41871000,418.71,,3.457000e-02,,False,0.468593,True
CH4,Olds 1942,444.26,171.11,48764000,487.64,,3.154000e-02,,False,0.473043,True
CH4,Olds 1942,444.26,171.11,55756000,557.56,,2.971000e-02,,False,0.466624,True
CH4,Olds 1942,444.26,171.11,62448000,624.48,,2.765000e-02,,False,0.472801,True
CH4,Olds 1942,444.26,171.11,68874000,688.74,,2.616000e-02,,False,0.474854,True
CH4,Olds 1942,477.59,204.44,3363000,33.63,,5.555700e-01,,False,-0.840399,True
CH4,Olds 1942,477.59,204.44,6413000,64.13,,3.026700e-01,,False,-0.043330,True
CH4,Olds 1942,477.59,204.44,8826000,88.26,,2.282700e-01,,False,0.085750,True
CH4,Olds 1942,477.59,204.44,14045000,140.45,,1.541800e-01,,False,0.228470,True
CH4,Olds 1942,477.59,204.44,20791000,207.91,,1.136000e-01,,False,0.322529,True
CH4,Olds 1942,477.59,204.44,34801000,348.01,,7.961000e-02,,False,0.416316,True
CH4,Olds 1942,477.59,204.44,41431000,414.31,,7.024000e-02,,False,0.444640,True
CH4,Olds 1942,477.59,204.44,48525000,485.25,,6.519000e-02,,False,0.460327,True
CH4,Olds 1942,477.59,204.44,55674000,556.74,,6.082000e-02,,False,0.460632,True
CH4,Olds 1942,477.59,204.44,62579000,625.79,,5.630000e-02,,False,0.466198,True
CH4,Olds 1942,477.59,204.44,68733000,687.33,,5.328000e-02,,False,0.467127,True
CH4,Olds 1942,510.93,237.78,5318000,53.18,,6.545900e-01,,False,-0.741871,True
CH4,Olds 1942,510.93,237.78,9510000,95.10,,4.003300e-01,,False,0.063294,True
CH4,Olds 1942,510.93,237.78,14439000,144.39,,2.851000e-01,,False,0.290916,True
CH4,Olds 1942,510.93,237.78,21006000,210.06,,2.128700e-01,,False,0.418729,True
CH4,Olds 1942,510.93,237.78,27685000,276.85,,1.756500e-01,,False,0.447453,True
CH4,Olds 1942,510.93,237.78,35603000,356.03,,1.488900e-01,,False,0.444472,True
CH4,Olds 1942,510.93,237.78,41693000,416.93,,1.338800e-01,,False,0.449341,True
CH4,Olds 1942,510.93,237.78,48531000,485.31,,1.239100e-01,,False,0.436609,True
CH4,Olds 1942,510.93,237.78,53942000,539.42,,1.118900e-01,,False,0.463773,True
CH4,Olds 1942,510.93,237.78,62499000,624.99,,1.064100e-01,,False,0.439235,True
CH4,Price 1979,427.00,153.85,3203000,32.03,4.514000e-03,,-0.338162,True,,False
CH4,Price 1979,427.00,153.85,3540000,35.40,7.410000e-04,,-0.004423,True,,False
CH4,Price 1979,427.00,153.85,15200000,152.00,2.859000e-03,,-0.012707,True,,False
CH4,Price 1979,427.00,153.85,46820000,468.20,5.510000e-03,,0.011766,True,,False
CH4,Price 1979,427.00,153.85,67290000,672.90,6.125000e-03,,0.027598,True,,False
CH4,Price 1979,427.00,153.85,87360000,873.60,6.526000e-03,,0.037824,True,,False
CH4,Price 1979,427.00,153.85,105210000,1052.10,7.703000e-03,,0.024269,True,,False
CH4,Price 1979,427.00,153.85,125900000,1259.00,8.832000e-03,,0.013911,True,,False
CH4,Price 1979,427.00,153.85,163960000,1639.60,1.032500e-02,,0.003727,True,,False
CH4,Price 1979,479.00,205.85,5170000,51.70,1.247000e-03,,0.158984,True,,False
CH4,Price 1979,479.00,205.85,16020000,160.20,4.041000e-03,,0.121493,True,,False
CH4,Price 1979,479.00,205.85,29440000,294.40,6.309000e-03,,0.127227,True,,False
CH4,Price 1979,479.00,205.85,54630000,546.30,9.486000e-03,,0.125566,True,,False
CH4,Price 1979,479.00,205.85,94860000,948.60,1.286000e-02,,0.119357,True,,False
CH4,Price 1979,479.00,205.85,103350000,1033.50,1.527000e-02,,0.093710,True,,False
CH4,Price 1979,479.00,205.85,163070000,1630.70,1.665000e-02,,0.104891,True,,False
CH4,Price 1979,479.00,205.85,192470000,1924.70,1.881000e-02,,0.089893,True,,False
CH4,Price 1979,494.00,220.85,4020000,40.20,1.276000e-03,,0.167194,True,,False
CH4,Price 1979,494.00,220.85,36760000,367.60,8.242000e-03,,0.169408,True,,False
CH4,Price 1979,494.00,220.85,62800000,628.00,1.333000e-02,,0.135789,True,,False
CH4,Price 1979,494.00,220.85,87360000,873.60,1.526000e-02,,0.140675,True,,False
CH4,Price 1979,494.00,220.85,103560000,1035.60,1.723000e-02,,0.130371,True,,False
CH4,Price 1979,494.00,220.85,123690000,1236.90,1.774000e-02,,0.136643,True,,False
CH4,Price 1979,494.00,220.85,141550000,1415.50,1.828000e-02,,0.138451,True,,False
CH4,Price 1979,507.00,233.85,8110000,81.10,2.612000e-03,,0.217031,True,,False
CH4,Price 1979,507.00,233.85,14890000,148.90,4.577000e-03,,0.209889,True,,False
CH4,Price 1979,507.00,233.85,20780000,207.80,7.178000e-03,,0.166872,True,,False
CH4,Price 1979,507.00,233.85,27770000,277.70,8.386000e-03,,0.182734,True,,False
CH4,Price 1979,507.00,233.85,47130000,471.30,1.419000e-02,,0.145163,True,,False
CH4,Price 1979,507.00,233.85,59690000,596.90,1.538000e-02,,0.157539,True,,False
CH4,Price 1979,507.00,233.85,78120000,781.20,1.835000e-02,,0.149020,True,,False
CH4,Price 1979,507.00,233.85,93360000,933.60,1.977000e-02,,0.149541,True,,False
CH4,Price 1979,507.00,233.85,108180000,1081.80,2.123000e-02,,0.146414,True,,False
CH4,Price 1979,507.00,233.85,108730000,1087.30,2.087000e-02,,0.150130,True,,False
CH4,Price 1979,507.00,233.85,132590000,1325.90,2.220000e-02,,0.150151,True,,False
CH4,Price 1979,507.00,233.85,147130000,1471.30,2.256000e-02,,0.152200,True,,False
CH4,Price 1979,507.00,233.85,164300000,1643.00,2.373000e-02,,0.147192,True,,False
CH4,Yarym-Agaev 1985,298.20,25.05,2500000,25.00,5.990000e-04,2.540000e-03,-0.295820,True,-0.826032,True
CH4,Yarym-Agaev 1985,298.20,25.05,5000000,50.00,1.120000e-03,1.460000e-03,-0.296834,True,-0.328984,True
CH4,Yarym-Agaev 1985,298.20,25.05,7500000,75.00,1.460000e-03,9.340000e-04,-0.290967,True,0.079586,True
CH4,Yarym-Agaev 1985,298.20,25.05,10000000,100.00,1.900000e-03,8.200000e-04,-0.295443,True,0.150550,True
CH4,Yarym-Agaev 1985,298.20,25.05,12500000,125.00,2.210000e-03,5.840000e-04,-0.295225,True,0.330383,True
CH4,Yarym-Agaev 1985,313.20,40.05,2500000,25.00,4.900000e-04,3.030000e-03,-0.253934,True,0.698917,True
CH4,Yarym-Agaev 1985,313.20,40.05,5000000,50.00,9.290000e-04,1.870000e-03,-0.255602,True,0.416226,True
CH4,Yarym-Agaev 1985,313.20,40.05,7500000,75.00,1.270000e-03,1.340000e-03,-0.253128,True,0.462188,True
CH4,Yarym-Agaev 1985,313.20,40.05,10000000,100.00,1.640000e-03,1.120000e-03,-0.256419,True,0.456417,True
CH4,Yarym-Agaev 1985,313.20,40.05,12500000,125.00,1.870000e-03,9.260000e-04,-0.253475,True,0.496450,True
CH4,Yarym-Agaev 1985,338.20,65.05,2500000,25.00,4.050000e-04,9.830000e-03,-0.188520,True,0.833613,True
CH4,Yarym-Agaev 1985,338.20,65.05,5000000,50.00,7.710000e-04,6.090000e-03,-0.189622,True,0.407191,True
CH4,Yarym-Agaev 1985,338.20,65.05,7500000,75.00,1.100000e-03,4.480000e-03,-0.190405,True,0.408703,True
CH4,Yarym-Agaev 1985,338.20,65.05,10000000,100.00,1.360000e-03,3.480000e-03,-0.188056,True,0.466408,True
CH4,Yarym-Agaev 1985,338.20,65.05,12500000,125.00,1.620000e-03,2.980000e-03,-0.188521,True,0.474225,True
CO2,Ahmadi 2018,300.95,27.80,2071000,20.71,1.099000e-02,,-0.118959,True,,False
CO2,Ahmadi 2018,300.95,27.80,4782000,47.82,2.032000e-02,,-0.111033,True,,False
CO2,Ahmadi 2018,300.95,27.80,7837000,78.37,2.335000e-02,,-0.104467,True,,False
CO2,Ahmadi 2018,300.95,27.80,19445000,194.45,2.696000e-02,,-0.105120,True,,False
CO2,Ahmadi 2018,300.95,27.80,34753000,347.53,2.960000e-02,,-0.104272,True,,False
CO2,Ahmadi 2018,307.79,34.64,1292000,12.92,6.010000e-03,,-0.111985,True,,False
CO2,Ahmadi 2018,307.79,34.64,1310000,13.10,6.010000e-03,,-0.111083,True,,False
CO2,Ahmadi 2018,307.79,34.64,2243000,22.43,9.740000e-03,,-0.108916,True,,False
CO2,Ahmadi 2018,307.79,34.64,3380000,33.80,1.384000e-02,,-0.107285,True,,False
CO2,Ahmadi 2018,307.79,34.64,4594000,45.94,1.704000e-02,,-0.103905,True,,False
CO2,Ahmadi 2018,307.79,34.64,5543000,55.43,1.931000e-02,,-0.102670,True,,False
CO2,Ahmadi 2018,307.79,34.64,7143000,71.43,2.228000e-02,,-0.101453,True,,False
CO2,Ahmadi 2018,307.79,34.64,12231000,122.31,2.414000e-02,,-0.098838,True,,False
CO2,Ahmadi 2018,307.79,34.64,19236000,192.36,2.589000e-02,,-0.098336,True,,False
CO2,Ahmadi 2018,322.62,49.47,2991000,29.91,9.610000e-03,,-0.093285,True,,False
CO2,Ahmadi 2018,322.62,49.47,4778000,47.78,1.279000e-02,,-0.084731,True,,False
CO2,Ahmadi 2018,322.62,49.47,5486000,54.86,1.493000e-02,,-0.087730,True,,False
CO2,Ahmadi 2018,322.62,49.47,8667000,86.67,1.959000e-02,,-0.085377,True,,False
CO2,Ahmadi 2018,322.62,49.47,20727000,207.27,2.394000e-02,,-0.082130,True,,False
CO2,Ahmadi 2018,322.62,49.47,40349000,403.49,2.708000e-02,,-0.079849,True,,False
CO2,Ahmadi 2018,373.39,100.24,3515000,35.15,6.970000e-03,,-0.051727,True,,False
CO2,Ahmadi 2018,373.39,100.24,7941000,79.41,1.286000e-02,,-0.042338,True,,False
CO2,Ahmadi 2018,373.39,100.24,19340000,193.40,2.112000e-02,,-0.034944,True,,False
CO2,Ahmadi 2018,373.39,100.24,42077000,420.77,2.578000e-02,,-0.024813,True,,False
CO2,Ahmadi 2018,423.48,150.33,2631000,26.31,3.270000e-03,,0.030330,True,,False
CO2,Ahmadi 2018,423.48,150.33,5109000,51.09,6.650000e-03,,0.019908,True,,False
CO2,Ahmadi 2018,423.48,150.33,9772000,97.72,1.170000e-02,,0.021137,True,,False
CO2,Ahmadi 2018,423.48,150.33,19549000,195.49,2.063000e-02,,0.017551,True,,False
CO2,Ahmadi 2018,423.48,150.33,40690000,406.90,2.839000e-02,,0.029992,True,,False
CO2,Bohr 1891,310.44,37.29,100600,1.01,4.584000e-04,,-0.109970,True,,False
CO2,Bohr 1891,373.15,100.00,187100,1.87,2.058000e-04,,0.012934,True,,False
CO2,Bohr 1899,273.25,0.10,101900,1.02,1.379000e-03,,-0.156863,True,,False
CO2,Bohr 1899,276.95,3.80,102100,1.02,1.206000e-03,,-0.151967,True,,False
CO2,Bohr 1899,279.95,6.80,102300,1.02,1.084000e-03,,-0.147831,True,,False
CO2,Bohr 1899,285.95,12.80,102800,1.03,8.887000e-04,,-0.139685,True,,False
